S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
1,GENIBEN NAGAJI THAKOR,Indian National Congress,667072,4811,671883,48.83,Banaskantha,Gujarat,44
2,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,635760,5717,641477,46.62,Banaskantha,Gujarat,45
3,MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party,9900,29,9929,0.72,Banaskantha,Gujarat,46
4,RATHOD MAVJI BHEMAJI,Independent,7690,6,7696,0.56,Banaskantha,Gujarat,47
5,SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent,5473,8,5481,0.4,Banaskantha,Gujarat,48
6,JASUBHAI GAMAR,Bharat Adivasi Party,4615,11,4626,0.34,Banaskantha,Gujarat,49
7,PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party,3503,10,3513,0.26,Banaskantha,Gujarat,50
8,BAJAG LASHABHAI LAVAJIBHAI,Independent,2994,15,3009,0.22,Banaskantha,Gujarat,51
9,PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party,1822,1,1823,0.13,Banaskantha,Gujarat,52
10,IBRAHIMBHAI PARASANI,Independent,1588,3,1591,0.12,Banaskantha,Gujarat,53
11,PARMAR CHHAGANCHANDRARAJ,Independent,1369,5,1374,0.1,Banaskantha,Gujarat,54
12,CHETANKUMAR KESHAVLAL OZA,Independent,1321,13,1334,0.1,Banaskantha,Gujarat,55
13,NOTA,None of the Above,22034,133,22167,1.61,Banaskantha,Gujarat,56
1,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,757787,6163,763950,57.04,Bardoli,Gujarat,57
2,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,526054,7643,533697,39.85,Bardoli,Gujarat,58
3,REKHABEN HARSINGBHAI CHAUDHARI,Bahujan Samaj Party,15872,272,16144,1.21,Bardoli,Gujarat,59
4,NOTA,None of the Above,24762,780,25542,1.91,Bardoli,Gujarat,60
1,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,605489,2668,608157,50.72,Bharuch,Gujarat,61
2,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,518419,4042,522461,43.58,Bharuch,Gujarat,62
3,DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,9981,33,10014,0.84,Bharuch,Gujarat,63
4,SAJID YAKUB MUNSHI,Independent,9934,3,9937,0.83,Bharuch,Gujarat,64
5,VASAVA CHETANBHAI KANJIBHAI,Bahujan Samaj Party,6312,12,6324,0.53,Bharuch,Gujarat,65
6,NAVINBHAI BHIKHABHAI PATEL,Independent,3440,13,3453,0.29,Bharuch,Gujarat,66
7,YUSUF VALI HASANALI,Independent,3245,2,3247,0.27,Bharuch,Gujarat,67
8,GITABEN MANUBHAI MACHHI,Malwa Congress,2750,14,2764,0.23,Bharuch,Gujarat,68
9,MITESHBHAI THAKORBHAI PADHIYAR,Independent,2451,8,2459,0.21,Bharuch,Gujarat,69
10,MIRZA AABIDBEG YASINBEG,Independent,2043,7,2050,0.17,Bharuch,Gujarat,70
11,ISMAIL AHMAD PATEL,Independent,1887,15,1902,0.16,Bharuch,Gujarat,71
12,NARAYANBHAI LILADHARJI RAVAL,Independent,1574,9,1583,0.13,Bharuch,Gujarat,72
13,DHARMESHKUMAR VISHNUBHAI VASAVA,Independent,1324,6,1330,0.11,Bharuch,Gujarat,73
14,NOTA,None of the Above,23151,132,23283,1.94,Bharuch,Gujarat,74
1,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,707428,9455,716883,68.46,Bhavnagar,Gujarat,75
2,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,256902,4692,261594,24.98,Bhavnagar,Gujarat,76
3,RATHOD DINESHBHAI LAKHABHAI,Bahujan Samaj Party,9989,141,10130,0.97,Bhavnagar,Gujarat,77
4,ANILBHAI NARENDRABHAI CHAVDA,Swatantrata Abhivyakti Party,7574,45,7619,0.73,Bhavnagar,Gujarat,78
5,PARMAR RAJESHKUMAR PREMJIBHAI,New India United Party,6456,37,6493,0.62,Bhavnagar,Gujarat,79
6,KALANIYA SAGARBHAI POPATBHAI,Aapki Awaaz Party,6039,48,6087,0.58,Bhavnagar,Gujarat,80
7,SANJAYBHAI MAGANBHAI MAKAWANA,Independent,4131,22,4153,0.4,Bhavnagar,Gujarat,81
8,HARSH GOKLANI,Independent,3593,41,3634,0.35,Bhavnagar,Gujarat,82
9,SHRI MULSHANKARBHAI RAGHURAMBHAI CHAUHAN,Independent,3386,20,3406,0.33,Bhavnagar,Gujarat,83
10,SHRI TIDABHAI DEVSHIBHAI,Gujarat Sarva Samaj Party,2641,44,2685,0.26,Bhavnagar,Gujarat,84
11,BHUPATBHAI MOHANBHAI VALA,Right to Recall Party,2370,24,2394,0.23,Bhavnagar,Gujarat,85
12,NARESHBHAI NARANBHAI RATHOD,Independent,1745,20,1765,0.17,Bhavnagar,Gujarat,86
13,BRAHMAKSHTRIYA BHAGVATIBEN KHETSINH,Independent,1562,62,1624,0.16,Bhavnagar,Gujarat,87
14,NOTA,None of the Above,17717,1048,18765,1.79,Bhavnagar,Gujarat,88
1,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,791727,4862,796589,62.84,Chhota Udaipur,Gujarat,89
2,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,394433,3379,397812,31.38,Chhota Udaipur,Gujarat,90
3,BHIL SOMABHAI GOKALBHAI,Bahujan Samaj Party,16021,72,16093,1.27,Chhota Udaipur,Gujarat,91
4,RATHVA FURAKANBHAI BALJIBHAI,Malwa Congress,11091,70,11161,0.88,Chhota Udaipur,Gujarat,92
5,TADVI RANCHHODBHAI,Bharatiya Bahujan Congress,8292,52,8344,0.66,Chhota Udaipur,Gujarat,93
6,RATHVA MUKESHBHAI NURABHAI,Independent,8032,33,8065,0.64,Chhota Udaipur,Gujarat,94
7,NOTA,None of the Above,29394,261,29655,2.34,Chhota Udaipur,Gujarat,95
1,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,685734,2981,688715,61.59,Dahod,Gujarat,96
2,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,352238,2800,355038,31.75,Dahod,Gujarat,97
3,MEDA DEVENDRAKUMAR LAXMANBHAI,Independent,11068,7,11075,0.99,Dahod,Gujarat,98
4,BHABHOR DHULABHAI DITABHAI,Bahujan Samaj Party,8621,11,8632,0.77,Dahod,Gujarat,99
5,BARIYA MANILAL HIRABHAI,Independent,6576,12,6588,0.59,Dahod,Gujarat,100
6,DAMOR VESTABHAI JOKHANABHAI,Independent,4374,26,4400,0.39,Dahod,Gujarat,101
7,DAMOR MANABHAI BHAVSINGBHAI,Independent,3144,29,3173,0.28,Dahod,Gujarat,102
8,JAGDISHBHAI MANILAL MEDA,Bharatiya National Janata Dal,3053,9,3062,0.27,Dahod,Gujarat,103
9,PASAYA NAVALSINH MULABHAI,Saath Sahakar Vikas Party,2667,6,2673,0.24,Dahod,Gujarat,104
10,NOTA,None of the Above,34774,164,34938,3.12,Dahod,Gujarat,105
1,AMIT SHAH,Bharatiya Janata Party,999984,10988,1010972,76.48,Gandhinagar,Gujarat,106
2,SONAL RAMANBHAI PATEL,Indian National Congress,261411,4845,266256,20.14,Gandhinagar,Gujarat,107
3,MOHAMMEDANISH DESAI,Bahujan Samaj Party,7272,122,7394,0.56,Gandhinagar,Gujarat,108
4,SHAHNAWAZKHAN SULTANKHAN PATHAN,Independent,2325,7,2332,0.18,Gandhinagar,Gujarat,109
5,MALEK MAKBUL SHAKIB,Independent,2052,6,2058,0.16,Gandhinagar,Gujarat,110
6,THAKOR JITENDRASINH JASHAVANTSINH,Insaniyat Party,1949,60,2009,0.15,Gandhinagar,Gujarat,111
7,PARIKH RAJIVBHAI KALABHAI,Independent,1719,32,1751,0.13,Gandhinagar,Gujarat,112
8,MANSURI SUHANA,Independent,1437,16,1453,0.11,Gandhinagar,Gujarat,113
9,MAURYA SUMITRA DEVNARIAN,Prajatantra Aadhar Party,1205,12,1217,0.09,Gandhinagar,Gujarat,114
10,UMADIYA ALIBHAI RAJABHAI,Independent,1004,5,1009,0.08,Gandhinagar,Gujarat,115
11,RAHUL CHIMANBHAI MEHTA,Right to Recall Party,982,19,1001,0.08,Gandhinagar,Gujarat,116
12,PATHAN IMTIYAJKHAN,Independent,786,56,842,0.06,Gandhinagar,Gujarat,117
13,BAGVAN BAHADURSHAH GULMOHAMMAD,Independent,755,16,771,0.06,Gandhinagar,Gujarat,118
14,NAVSADALAM IBRAHIMBHAI MALEK,Independent,726,6,732,0.06,Gandhinagar,Gujarat,119
15,NOTA,None of the Above,21233,772,22005,1.66,Gandhinagar,Gujarat,120
1,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,618120,1929,620049,58.98,Jamnagar,Gujarat,121
2,ADVOCATE J. P. MARAVIYA,Indian National Congress,380949,1092,382041,36.34,Jamnagar,Gujarat,122
3,JAYSUKH NATHUBHAI PINGALSUR,Bahujan Samaj Party,11429,33,11462,1.09,Jamnagar,Gujarat,123
4,KANZARIYA RANCHHODBHAI NARANBHAI,Viro Ke Vir Indian Party,6973,29,7002,0.67,Jamnagar,Gujarat,124
5,VIJAYSINH PRAVINSINH JADEJA,Independent,4817,17,4834,0.46,Jamnagar,Gujarat,125
6,RATHOD PUNJABHAI PALABHAI,Independent,3727,5,3732,0.36,Jamnagar,Gujarat,126
7,BHURALAL MEGHJIBHAI PARMAR,Independent,1923,5,1928,0.18,Jamnagar,Gujarat,127
8,GHUGHA ALARAKHABHAI ISHAKBHAI,Independent,1582,3,1585,0.15,Jamnagar,Gujarat,128
